Date,BTCTrend
2016-01-03,2.00
2016-01-04,2.14
2016-01-05,2.29
2016-01-06,2.43
2016-01-07,2.57
2016-01-08,2.71
2016-01-09,2.86
2016-01-10,3.00
2016-01-11,3.00
2016-01-12,3.00
2016-01-13,3.00
2016-01-14,3.00
2016-01-15,3.00
2016-01-16,3.00
2016-01-17,3.00
2016-01-18,2.86
2016-01-19,2.71
2016-01-20,2.57
2016-01-21,2.43
2016-01-22,2.29
2016-01-23,2.14
2016-01-24,2.00
2016-01-25,2.00
2016-01-26,2.00
2016-01-27,2.00
2016-01-28,2.00
2016-01-29,2.00
2016-01-30,2.00
2016-01-31,2.00
2016-02-01,2.00
2016-02-02,2.00
2016-02-03,2.00
2016-02-04,2.00
2016-02-05,2.00
2016-02-06,2.00
2016-02-07,2.00
2016-02-08,2.14
2016-02-09,2.29
2016-02-10,2.43
2016-02-11,2.57
2016-02-12,2.71
2016-02-13,2.86
2016-02-14,3.00
2016-02-15,2.86
2016-02-16,2.71
2016-02-17,2.57
2016-02-18,2.43
2016-02-19,2.29
2016-02-20,2.14
2016-02-21,2.00
2016-02-22,2.00
2016-02-23,2.00
2016-02-24,2.00
2016-02-25,2.00
2016-02-26,2.00
2016-02-27,2.00
2016-02-28,2.00
2016-02-29,2.00
2016-03-01,2.00
2016-03-02,2.00
2016-03-03,2.00
2016-03-04,2.00
2016-03-05,2.00
2016-03-06,2.00
2016-03-07,2.00
2016-03-08,2.00
2016-03-09,2.00
2016-03-10,2.00
2016-03-11,2.00
2016-03-12,2.00
2016-03-13,2.00
2016-03-14,2.00
2016-03-15,2.00
2016-03-16,2.00
2016-03-17,2.00
2016-03-18,2.00
2016-03-19,2.00
2016-03-20,2.00
2016-03-21,2.00
2016-03-22,2.00
2016-03-23,2.00
2016-03-24,2.00
2016-03-25,2.00
2016-03-26,2.00
2016-03-27,2.00
2016-03-28,2.00
2016-03-29,2.00
2016-03-30,2.00
2016-03-31,2.00
2016-04-01,2.00
2016-04-02,2.00
2016-04-03,2.00
2016-04-04,2.00
2016-04-05,2.00
2016-04-06,2.00
2016-04-07,2.00
2016-04-08,2.00
2016-04-09,2.00
2016-04-10,2.00
2016-04-11,2.00
2016-04-12,2.00
2016-04-13,2.00
2016-04-14,2.00
2016-04-15,2.00
2016-04-16,2.00
2016-04-17,2.00
2016-04-18,2.00
2016-04-19,2.00
2016-04-20,2.00
2016-04-21,2.00
2016-04-22,2.00
2016-04-23,2.00
2016-04-24,2.00
2016-04-25,2.29
2016-04-26,2.57
2016-04-27,2.86
2016-04-28,3.14
2016-04-29,3.43
2016-04-30,3.71
2016-05-01,4.00
2016-05-02,3.86
2016-05-03,3.71
2016-05-04,3.57
2016-05-05,3.43
2016-05-06,3.29
2016-05-07,3.14
2016-05-08,3.00
2016-05-09,2.86
2016-05-10,2.71
2016-05-11,2.57
2016-05-12,2.43
2016-05-13,2.29
2016-05-14,2.14
2016-05-15,2.00
2016-05-16,2.00
2016-05-17,2.00
2016-05-18,2.00
2016-05-19,2.00
2016-05-20,2.00
2016-05-21,2.00
2016-05-22,2.00
2016-05-23,2.14
2016-05-24,2.29
2016-05-25,2.43
2016-05-26,2.57
2016-05-27,2.71
2016-05-28,2.86
2016-05-29,3.00
2016-05-30,3.00
2016-05-31,3.00
2016-06-01,3.00
2016-06-02,3.00
2016-06-03,3.00
2016-06-04,3.00
2016-06-05,3.00
2016-06-06,3.14
2016-06-07,3.29
2016-06-08,3.43
2016-06-09,3.57
2016-06-10,3.71
2016-06-11,3.86
2016-06-12,4.00
2016-06-13,4.00
2016-06-14,4.00
2016-06-15,4.00
2016-06-16,4.00
2016-06-17,4.00
2016-06-18,4.00
2016-06-19,4.00
2016-06-20,3.86
2016-06-21,3.71
2016-06-22,3.57
2016-06-23,3.43
2016-06-24,3.29
2016-06-25,3.14
2016-06-26,3.00
2016-06-27,3.00
2016-06-28,3.00
2016-06-29,3.00
2016-06-30,3.00
2016-07-01,3.00
2016-07-02,3.00
2016-07-03,3.00
2016-07-04,3.00
2016-07-05,3.00
2016-07-06,3.00
2016-07-07,3.00
2016-07-08,3.00
2016-07-09,3.00
2016-07-10,3.00
2016-07-11,2.86
2016-07-12,2.71
2016-07-13,2.57
2016-07-14,2.43
2016-07-15,2.29
2016-07-16,2.14
2016-07-17,2.00
2016-07-18,2.00
2016-07-19,2.00
2016-07-20,2.00
2016-07-21,2.00
2016-07-22,2.00
2016-07-23,2.00
2016-07-24,2.00
2016-07-25,2.14
2016-07-26,2.29
2016-07-27,2.43
2016-07-28,2.57
2016-07-29,2.71
2016-07-30,2.86
2016-07-31,3.00
2016-08-01,3.00
2016-08-02,3.00
2016-08-03,3.00
2016-08-04,3.00
2016-08-05,3.00
2016-08-06,3.00
2016-08-07,3.00
2016-08-08,2.86
2016-08-09,2.71
2016-08-10,2.57
2016-08-11,2.43
2016-08-12,2.29
2016-08-13,2.14
2016-08-14,2.00
2016-08-15,2.00
2016-08-16,2.00
2016-08-17,2.00
2016-08-18,2.00
2016-08-19,2.00
2016-08-20,2.00
2016-08-21,2.00
2016-08-22,2.00
2016-08-23,2.00
2016-08-24,2.00
2016-08-25,2.00
2016-08-26,2.00
2016-08-27,2.00
2016-08-28,2.00
2016-08-29,2.14
2016-08-30,2.29
2016-08-31,2.43
2016-09-01,2.57
2016-09-02,2.71
2016-09-03,2.86
2016-09-04,3.00
2016-09-05,3.00
2016-09-06,3.00
2016-09-07,3.00
2016-09-08,3.00
2016-09-09,3.00
2016-09-10,3.00
2016-09-11,3.00
2016-09-12,2.86
2016-09-13,2.71
2016-09-14,2.57
2016-09-15,2.43
2016-09-16,2.29
2016-09-17,2.14
2016-09-18,2.00
2016-09-19,2.00
2016-09-20,2.00
2016-09-21,2.00
2016-09-22,2.00
2016-09-23,2.00
2016-09-24,2.00
2016-09-25,2.00
2016-09-26,2.00
2016-09-27,2.00
2016-09-28,2.00
2016-09-29,2.00
2016-09-30,2.00
2016-10-01,2.00
2016-10-02,2.00
2016-10-03,2.14
2016-10-04,2.29
2016-10-05,2.43
2016-10-06,2.57
2016-10-07,2.71
2016-10-08,2.86
2016-10-09,3.00
2016-10-10,2.86
2016-10-11,2.71
2016-10-12,2.57
2016-10-13,2.43
2016-10-14,2.29
2016-10-15,2.14
2016-10-16,2.00
2016-10-17,2.14
2016-10-18,2.29
2016-10-19,2.43
2016-10-20,2.57
2016-10-21,2.71
2016-10-22,2.86
2016-10-23,3.00
2016-10-24,3.00
2016-10-25,3.00
2016-10-26,3.00
2016-10-27,3.00
2016-10-28,3.00
2016-10-29,3.00
2016-10-30,3.00
2016-10-31,3.00
2016-11-01,3.00
2016-11-02,3.00
2016-11-03,3.00
2016-11-04,3.00
2016-11-05,3.00
2016-11-06,3.00
2016-11-07,3.00
2016-11-08,3.00
2016-11-09,3.00
2016-11-10,3.00
2016-11-11,3.00
2016-11-12,3.00
2016-11-13,3.00
2016-11-14,3.00
2016-11-15,3.00
2016-11-16,3.00
2016-11-17,3.00
2016-11-18,3.00
2016-11-19,3.00
2016-11-20,3.00
2016-11-21,3.00
2016-11-22,3.00
2016-11-23,3.00
2016-11-24,3.00
2016-11-25,3.00
2016-11-26,3.00
2016-11-27,3.00
2016-11-28,3.00
2016-11-29,3.00
2016-11-30,3.00
2016-12-01,3.00
2016-12-02,3.00
2016-12-03,3.00
2016-12-04,3.00
2016-12-05,3.00
2016-12-06,3.00
2016-12-07,3.00
2016-12-08,3.00
2016-12-09,3.00
2016-12-10,3.00
2016-12-11,3.00
2016-12-12,3.14
2016-12-13,3.29
2016-12-14,3.43
2016-12-15,3.57
2016-12-16,3.71
2016-12-17,3.86
